"","MR1","MR5","MR9","MR2","MR3","MR4","MR8","MR10","MR6","MR7"
"Q3.2_1",0.00717015870760637,0.0149727167769449,0.0873326175681216,-0.0239818919698482,-0.0250823953612805,0.734860210849929,-0.00169881652063419,0.0632768196241012,-0.00563948934373915,-0.0370286252101416
"Q3.3_1",-0.0219363701622992,-0.0638786566121747,0.0233148002478656,0.0140842582688899,0.0183189738655631,0.62042473379557,0.0524621772330269,0.00697528620640656,-0.0124703876114324,-0.117415681715367
"Q3.4_1",-0.0615797381566456,-0.0439351453978601,0.00185626331079407,-0.000926249992552638,0.0100212370474915,0.798210416527908,0.00851537930977522,0.0157146245251754,0.0160478374395633,-0.0855254403220423
"Q3.5_1",-0.0481851840653303,0.00822069400750488,-0.0219083101845596,-0.0332987316858053,0.0378291168879839,0.744312760994783,0.0212712662800322,0.105603689380888,0.0259250516833704,-0.097691033365315
"Q3.6_1",-0.0305473082213256,-0.0237535568184694,-0.0031741365846671,-0.0213581189490621,-0.0166068171804666,0.767882368413066,0.0154198477949238,-0.0575992547463024,-0.0184578988941589,0.131872285332927
"Q3.7_1",0.0973982544095749,0.070120574312218,0.118457751242463,0.0689574178302887,0.149776393340693,0.202518939950236,0.13060453403709,0.149346622045648,0.0937639642192786,-0.0294388424237957
"Q3.8_1",0.478011613534553,0.11103293257528,0.0860713266485893,-0.0529346172397249,0.15731670551356,0.0153670815218357,0.00661148569042842,-0.211769785069201,0.0587961836308934,0.116286881426463
"Q3.9_1",0.32031656366829,0.0385965372256648,0.0998681887804734,-0.0816068069906518,0.0185859176543529,0.0480090745481768,0.158604720102899,0.238673229566741,0.0929507987791941,-0.101817588355155
"Q3.10_1",0.443362204913376,0.0612996193832539,0.0688207602402844,-0.0360802984675021,0.140217321631585,-0.00363498300870662,0.027854524082852,-0.157260391661208,0.0986470563940537,-0.0539003296505079
"Q3.11_1",0.40924756647536,0.12867569646284,0.11879840662147,-0.174317561737162,-0.00721099973773663,0.105717374163363,0.0772827866324515,0.241040374596321,0.0757354620957079,-0.0924856180520668
"Q3.12_1",0.43567040106435,0.109367668942632,-0.00338685338963796,-0.0244324251946368,0.115741625538721,0.143853393591841,0.100333601571719,0.177721408863279,0.0300484172054733,-0.0875873077717133
"Q3.13_1",0.305423606882401,0.106978375059117,0.309672367374128,-0.0960109378689864,0.0102951512165146,0.143018866074692,0.125803275714052,0.116092601660945,-0.130333317094438,0.0994706527075615
"Q3.14_1",0.440124994524374,0.120898123901748,0.188318606960794,-0.0613812220014187,0.0511143719142399,0.0637171845576296,0.0321407241176399,-0.0287747604789943,-0.129803729101775,0.169906305701146
"Q3.15_1",0.115920899260202,0.162484763385947,0.312253426161775,0.169904842896068,-0.0995828326108735,0.0248225304036134,0.0516394789229445,-0.166401767396654,-0.0446966216590145,0.181678716216601
"Q3.16_1",0.487659465831302,0.117130359379858,0.176417048468277,-0.124784356453234,-0.0779664426431107,0.110870381604571,0.00743843927214898,0.112331185245632,-0.19938495642161,0.0970668078916528
"Q3.17_1",0.585870269891486,0.0490071189524693,0.0123228997450595,0.0570619871376927,0.128814763659466,0.116620655961218,0.00707840610963689,-0.00791046621466596,-0.020935276790345,0.116197597185925
"Q3.18_1",0.697668635981107,-0.0196249389576161,-0.00587716299161576,0.00453472225634505,0.00700043299993371,0.111743617247447,0.0373708807898693,0.136889534193673,-0.0623595530226078,-0.0501969933047853
